"SEARCHQUERY","CRAWLTIME","RANK","ID"
"Anorak",13-JUN-12,14407,"6890214202"
"Anorak",13-JUN-12,14507,"6890214202"
"Button",17-JUN-12,1117,"2927963219"
"Button",17-JUN-12,1212,"296743659"
"Anorak",13-JUN-12,18207,"6890214202"
"Anorak",13-JUN-12,18307,"6890214202"
"Anorak",13-JUN-12,14607,"6890214202"
"Anorak",13-JUN-12,14707,"6890214202"
"Button",17-JUN-12,1446,"4502790"
"Bespoke",14-JUN-12,2509,"6206793019"
"Bespoke",14-JUN-12,2512,"6207237360"
"Bespoke",14-JUN-12,2516,"6198295158"
"Bespoke",14-JUN-12,2525,"6207240938"
"Bespoke",14-JUN-12,2533,"6198298064"
"Bespoke",14-JUN-12,2548,"6207326438"
"Bespoke",14-JUN-12,2549,"6197771635"
"Bespoke",14-JUN-12,2550,"6197771289"
"Bespoke",14-JUN-12,2551,"6207310316"
"Bespoke",14-JUN-12,2554,"6206797629"
"Bespoke",14-JUN-12,2557,"6206727601"
"Bespoke",14-JUN-12,2558,"6197780557"
"Bespoke",14-JUN-12,2559,"6206798245"
"Bespoke",14-JUN-12,2561,"6207312074"
"Bespoke",14-JUN-12,2563,"6207250622"
"Bespoke",14-JUN-12,2564,"6207309480"
"Bespoke",14-JUN-12,2565,"6207241448"
"Bespoke",14-JUN-12,2567,"6206794243"
"Bespoke",14-JUN-12,2570,"6207240858"
"Bespoke",14-JUN-12,2571,"6207238316"
"Bespoke",14-JUN-12,2572,"6206798115"
"Bespoke",14-JUN-12,2573,"6207240756"
"Bespoke",14-JUN-12,2574,"6197779581"
"Bespoke",14-JUN-12,2576,"6207242050"
"Bespoke",14-JUN-12,2578,"6198297772"
"Bespoke",14-JUN-12,2579,"6207327374"
"Bespoke",14-JUN-12,2582,"6206797423"
"Bespoke",14-JUN-12,2585,"6197778829"
"Bespoke",14-JUN-12,2586,"6207313298"
"Bespoke",14-JUN-12,2588,"6207307968"
"Bespoke",14-JUN-12,2591,"6206797311"
"Bespoke",14-JUN-12,2592,"6198289442"
"Bespoke",14-JUN-12,2595,"6207312254"
"Anorak",13-JUN-12,14807,"6890214202"
"Anorak",13-JUN-12,14907,"6890214202"
"Button",17-JUN-12,1635,"3260631484"
"Chasuble",18-JUN-12,735,"4323035776"
"Anorak",13-JUN-12,15007,"6890214202"
"Anorak",13-JUN-12,15107,"6890214202"
"Button",17-JUN-12,1720,"4497496"
"Button",17-JUN-12,1724,"5697652862"
"Button",17-JUN-12,1745,"4502737"
"Button",17-JUN-12,1777,"6596976717"
"Button",17-JUN-12,1821,"3332901916"
"Button",17-JUN-12,1845,"3254513713"
"Chasuble",18-JUN-12,905,"4431219775"
"Chasuble",18-JUN-12,906,"4431214885"
"Chasuble",18-JUN-12,918,"4431967182"
"Chasuble",18-JUN-12,919,"4372808417"
"Chasuble",18-JUN-12,925,"4431200221"
"Chasuble",18-JUN-12,958,"4431209839"
"Chasuble",18-JUN-12,965,"4431205161"
"Bikini",14-JUN-12,9,"4901099086"
"Anorak",13-JUN-12,15207,"6890214202"
"Anorak",13-JUN-12,15307,"6890214202"
"Button",17-JUN-12,1906,"4738706264"
"Button",17-JUN-12,1907,"4738074601"
"Button",17-JUN-12,1908,"4738704998"
"Button",17-JUN-12,1917,"5600215736"
"Button",17-JUN-12,1933,"455572466"
"Button",17-JUN-12,2005,"4593308697"
"Button",17-JUN-12,2025,"3471091666"
"Button",17-JUN-12,2049,"66938001"
"Chasuble",18-JUN-12,1157,"4423812598"
"Anorak",13-JUN-12,15407,"6890214202"
"Anorak",13-JUN-12,15507,"6890214202"
"Button",17-JUN-12,2129,"296743640"
"Button",17-JUN-12,2144,"3470276439"
"Button",17-JUN-12,2261,"2824259044"
"Button",17-JUN-12,2304,"2824259044"
"Chasuble",18-JUN-12,1288,"5585468317"
"Chasuble",18-JUN-12,1339,"3077946638"
"Chasuble",18-JUN-12,1384,"3116217997"
"Bikini",14-JUN-12,322,"3540607697"
"Bikini",14-JUN-12,323,"3481883107"
"Bikini",14-JUN-12,324,"3386409319"
"Bikini",14-JUN-12,325,"3403269619"
"Bikini",14-JUN-12,326,"3386408839"
"Bikini",14-JUN-12,327,"3386408201"
"Bikini",14-JUN-12,328,"3386408981"
"Bikini",14-JUN-12,329,"3420032849"
"Bikini",14-JUN-12,330,"3430335595"
"Bikini",14-JUN-12,331,"3387220584"
"Bikini",14-JUN-12,332,"3386408671"
"Bikini",14-JUN-12,333,"3387221414"
"Bikini",14-JUN-12,334,"3386408747"
"Bikini",14-JUN-12,335,"3550035633"
"Bikini",14-JUN-12,336,"3387221640"
"Bikini",14-JUN-12,337,"3510459334"
"Bikini",14-JUN-12,338,"3386408379"
"Bikini",14-JUN-12,339,"3387221468"
"Bikini",14-JUN-12,340,"3387221780"
"Bikini",14-JUN-12,341,"3387220674"
"Bikini",14-JUN-12,342,"3386409489"
"Bikini",14-JUN-12,343,"3436913067"
"Bikini",14-JUN-12,344,"3413540701"
"Bikini",14-JUN-12,345,"3387220512"
"Bikini",14-JUN-12,346,"3489925363"
"Bikini",14-JUN-12,347,"3410462469"
"Bikini",14-JUN-12,348,"3386409451"
"Bikini",14-JUN-12,349,"3409540564"
"Bikini",14-JUN-12,350,"3386408497"
"Bikini",14-JUN-12,372,"3378656800"
"Bikini",14-JUN-12,373,"3381012317"
"Bikini",14-JUN-12,375,"3381024317"
"Bikini",14-JUN-12,376,"3377842353"
"Bikini",14-JUN-12,378,"3377841987"
"Bikini",14-JUN-12,379,"3378659162"
"Bikini",14-JUN-12,380,"3377840923"
"Bikini",14-JUN-12,381,"3386407613"
"Bikini",14-JUN-12,382,"3377841453"
"Bikini",14-JUN-12,383,"3378659298"
"Bikini",14-JUN-12,384,"3381843622"
"Bikini",14-JUN-12,385,"3377842623"
"Bikini",14-JUN-12,386,"3381011549"
"Bikini",14-JUN-12,387,"3378659776"
"Bikini",14-JUN-12,388,"3377840715"
"Bikini",14-JUN-12,389,"3377840319"
"Bikini",14-JUN-12,390,"3377842655"
"Bikini",14-JUN-12,391,"3381831542"
"Bikini",14-JUN-12,392,"3377841515"
"Bikini",14-JUN-12,393,"3378658236"
"Bikini",14-JUN-12,394,"3377716285"
"Bikini",14-JUN-12,395,"3381828244"
"Bikini",14-JUN-12,396,"3381012447"
"Bikini",14-JUN-12,397,"3377840395"
"Bikini",14-JUN-12,398,"3386407865"
"Bikini",14-JUN-12,399,"3378657008"
"Bikini",14-JUN-12,400,"3378656944"
"Bikini",14-JUN-12,402,"3378657008"
"Bikini",14-JUN-12,403,"3377842175"
"Bikini",14-JUN-12,405,"3378660120"
"Bikini",14-JUN-12,406,"3381032481"
"Bikini",14-JUN-12,407,"3377840451"
"Bikini",14-JUN-12,408,"3378657622"
"Bikini",14-JUN-12,410,"3381032613"
"Bikini",14-JUN-12,411,"3381010443"
"Bikini",14-JUN-12,413,"3387220374"
"Bikini",14-JUN-12,414,"3381851736"
"Bikini",14-JUN-12,415,"3377840085"
"Bikini",14-JUN-12,416,"3381843384"
"Bikini",14-JUN-12,417,"3377841919"
"Bikini",14-JUN-12,418,"3378657864"
"Bikini",14-JUN-12,419,"3381830774"
"Bikini",14-JUN-12,420,"3381011665"
"Bikini",14-JUN-12,421,"3377841281"
"Bikini",14-JUN-12,422,"3381828986"
"Bikini",14-JUN-12,423,"3381827978"
"Bikini",14-JUN-12,425,"3386407811"
"Bikini",14-JUN-12,426,"3378657120"
"Bikini",14-JUN-12,427,"3377843013"
"Bikini",14-JUN-12,428,"3377842919"
"Bikini",14-JUN-12,429,"3378659818"
"Bikini",14-JUN-12,430,"3378659202"
"Bikini",14-JUN-12,431,"3378657736"
"Bikini",14-JUN-12,432,"3381829806"
"Bikini",14-JUN-12,433,"3381009787"
"Bikini",14-JUN-12,434,"3381032545"
"Bikini",14-JUN-12,435,"3381828286"
"Bikini",14-JUN-12,436,"3378657776"
"Bikini",14-JUN-12,441,"6937956342"
"Anorak",13-JUN-12,15607,"6890214202"
"Anorak",13-JUN-12,15707,"6890214202"
"Button",17-JUN-12,2526,"504354910"
"Chasuble",18-JUN-12,1476,"4506942759"
"Chasuble",18-JUN-12,1563,"4463949245"
"Chasuble",18-JUN-12,1585,"4465295747"
"Chasuble",18-JUN-12,1589,"4465299495"
"Chasuble",18-JUN-12,1600,"4393450752"
"Chasuble",18-JUN-12,1601,"4671707597"
"Chasuble",18-JUN-12,1610,"4464722562"
"Chasuble",18-JUN-12,1611,"4531895785"
"Chasuble",18-JUN-12,1612,"4464720762"
"Chasuble",18-JUN-12,1631,"4393504634"
"Chasuble",18-JUN-12,1632,"4463942873"
"Chasuble",18-JUN-12,1633,"4393525082"
"Chasuble",18-JUN-12,1634,"4393555346"
"Chasuble",18-JUN-12,1642,"4508981368"
"Chasuble",18-JUN-12,1657,"4392731811"
"Anorak",13-JUN-12,15807,"6890214202"
"Anorak",13-JUN-12,15907,"6890214202"
"Button",17-JUN-12,2571,"535368424"
"Button",17-JUN-12,2578,"3991870090"
"Chasuble",18-JUN-12,1672,"4392744443"
"Chasuble",18-JUN-12,1673,"4393547672"
"Chasuble",18-JUN-12,1679,"4464717448"
"Chasuble",18-JUN-12,1693,"4393464064"
"Chasuble",18-JUN-12,1695,"4393455082"
"Chasuble",18-JUN-12,1696,"4392701963"
"Chasuble",18-JUN-12,1697,"4392729031"
"Chasuble",18-JUN-12,1698,"4392713219"
"Chasuble",18-JUN-12,1701,"4393475436"
"Chasuble",18-JUN-12,1709,"4392752595"
"Chasuble",18-JUN-12,1712,"4393490624"
"Chasuble",18-JUN-12,1744,"4392739943"
"Chasuble",18-JUN-12,1745,"4393517436"
"Chasuble",18-JUN-12,1746,"4392698209"
"Chasuble",18-JUN-12,1747,"4393559566"
"Chasuble",18-JUN-12,1762,"4393543842"
"Chasuble",18-JUN-12,1764,"4392709283"
"Chasuble",18-JUN-12,1781,"4392690113"
"Chasuble",18-JUN-12,1785,"4463936409"
"Chasuble",18-JUN-12,1803,"633285397"
"Chasuble",18-JUN-12,1834,"4393529752"
"Anorak",13-JUN-12,16007,"6890214202"
"Anorak",13-JUN-12,16107,"6890214202"
"Button",17-JUN-12,2782,"5814557317"
"Chasuble",18-JUN-12,1858,"4392765765"
"Chasuble",18-JUN-12,1867,"4393539238"
"Chasuble",18-JUN-12,1873,"4392717085"
"Chasuble",18-JUN-12,1890,"4393552114"
"Bikini",14-JUN-12,983,"7178371574"
"Bikini",14-JUN-12,1002,"7178371574"
"Anorak",13-JUN-12,16207,"6890214202"
"Anorak",13-JUN-12,16307,"6890214202"
"Chantilly lace",18-JUN-12,1540,"2527572055"
"Bikini",14-JUN-12,1301,"6970637554"
"Anorak",13-JUN-12,16407,"6890214202"
"Anorak",13-JUN-12,16507,"6890214202"
"Camp shirt",17-JUN-12,238,"6971301492"
"Camp shirt",17-JUN-12,245,"1794745094"
"Cardigan (sweater)",17-JUN-12,180,"5070355474"
"Cardigan (sweater)",17-JUN-12,205,"576600679"
"Cardigan (sweater)",17-JUN-12,212,"3931336027"
"Cardigan (sweater)",17-JUN-12,213,"3931336269"
"Cardigan (sweater)",17-JUN-12,214,"3931335699"
"Cardigan (sweater)",17-JUN-12,215,"3932118888"
"Cardigan (sweater)",17-JUN-12,301,"5479785151"
"Cardigan (sweater)",17-JUN-12,307,"4499351242"
"Cardigan (sweater)",17-JUN-12,310,"5424536418"
"Chador",17-JUN-12,497,"4818642700"
"Chador",17-JUN-12,506,"637924093"
"Cardigan (sweater)",17-JUN-12,756,"2160153342"
"Cassock",17-JUN-12,337,"4351408344"
"Cassock",17-JUN-12,408,"2533775701"
"Cassock",17-JUN-12,414,"2533775743"
"Cassock",17-JUN-12,415,"2533775537"
"Cassock",17-JUN-12,417,"2533774697"
"Cassock",17-JUN-12,418,"2533775263"
"Cassock",17-JUN-12,438,"2534589878"
"Cassock",17-JUN-12,439,"2533775597"
"Cassock",17-JUN-12,441,"2533775349"
"Cassock",17-JUN-12,462,"2534590488"
"Cassock",17-JUN-12,465,"4137506541"
"Cassock",17-JUN-12,466,"4138269750"
"Cassock",17-JUN-12,467,"4137506027"
"Cassock",17-JUN-12,468,"4138269970"
"Cassock",17-JUN-12,469,"4137506773"
"Cassock",17-JUN-12,470,"4138270596"
"Cassock",17-JUN-12,501,"4138270204"
"Cassock",17-JUN-12,502,"4137506375"
"Cassock",17-JUN-12,503,"4138270068"
"Cassock",17-JUN-12,504,"4138270390"
"Cassock",17-JUN-12,505,"4138270274"
"Cassock",17-JUN-12,506,"4138270810"
"Cassock",17-JUN-12,510,"4138269630"
"Cassock",17-JUN-12,515,"3056008617"
"Cassock",17-JUN-12,519,"4137506623"
"Chador",17-JUN-12,2933,"3862189166"
"Chador",17-JUN-12,3002,"5039292658"
"Chador",17-JUN-12,3013,"6268566915"
"Chador",17-JUN-12,3060,"2966112699"
"Chador",18-JUN-12,3713,"242206089"
"Chador",18-JUN-12,3748,"4899251844"
"Chador",18-JUN-12,3797,"6028608278"
"Chador",18-JUN-12,3838,"4774382063"
"Chador",17-JUN-12,2066,"4328772620"
"Chador",17-JUN-12,2089,"5420859841"
"Chador",17-JUN-12,2235,"5683812116"
"Camp shirt",17-JUN-12,328,"5971312208"
"Camp shirt",17-JUN-12,334,"5264495546"
"Chantilly lace",18-JUN-12,590,"7145025035"
"Chantilly lace",18-JUN-12,1309,"3127555588"
"Cardigan (sweater)",17-JUN-12,325,"2779198240"
"Cardigan (sweater)",17-JUN-12,345,"2745259366"
"Cardigan (sweater)",17-JUN-12,418,"3096983728"
"Chador",17-JUN-12,549,"4872129017"
"Chador",17-JUN-12,606,"4784680463"
"Chador",17-JUN-12,626,"3083952191"
"Chador",17-JUN-12,633,"6754018247"
"Chador",17-JUN-12,639,"4434878406"
"Chador",17-JUN-12,646,"4818616294"
"Chador",17-JUN-12,668,"4851411258"
"Chador",17-JUN-12,695,"4851393326"
"Cardigan (sweater)",17-JUN-12,843,"423377111"
"Cardigan (sweater)",17-JUN-12,895,"2160153132"
"Cardigan (sweater)",17-JUN-12,912,"7147962975"
"Cardigan (sweater)",17-JUN-12,925,"4100528633"
"Cardigan (sweater)",17-JUN-12,926,"4100523267"
"Cassock",17-JUN-12,696,"6955873996"
"Cassock",17-JUN-12,705,"2103853117"
"Chador",17-JUN-12,3111,"464193132"
"Chador",17-JUN-12,3122,"6694269825"
"Chador",17-JUN-12,3124,"2499649335"
"Chador",17-JUN-12,3132,"2647827616"
"Anorak",13-JUN-12,18407,"6890214202"
"Anorak",13-JUN-12,18507,"6890214202"
"Anorak",13-JUN-12,18607,"6890214202"
"Chador",17-JUN-12,1607,"2465067578"
"Chador",17-JUN-12,1610,"542504526"
"Chador",17-JUN-12,2305,"2453375667"
"Chador",17-JUN-12,2314,"54801808"
"Chador",17-JUN-12,2327,"3552976503"
"Chador",17-JUN-12,2378,"3210320193"
"Chador",17-JUN-12,2387,"865767948"
"Chador",17-JUN-12,2424,"2957662907"
"Anorak",13-JUN-12,18707,"6890214202"
"Anorak",13-JUN-12,18807,"6890214202"
"Chantilly lace",18-JUN-12,1402,"6978682830"
"Chantilly lace",18-JUN-12,1403,"6978684514"
"Chantilly lace",18-JUN-12,1490,"6959783036"
"Anorak",13-JUN-12,18907,"6890214202"
"Anorak",13-JUN-12,19007,"6890214202"
"Chador",17-JUN-12,17,"4790811311"
"Chador",17-JUN-12,18,"3780839055"
"Chador",17-JUN-12,19,"6061869684"
"Chador",17-JUN-12,33,"3824966765"
"Chador",17-JUN-12,34,"1257883669"
"Anorak",13-JUN-12,19107,"6890214202"
"Anorak",13-JUN-12,19207,"6890214202"
"Cassock",17-JUN-12,3,"4698127758"
"Cassock",17-JUN-12,5,"2074158969"
"Cassock",17-JUN-12,6,"4751331988"
"Cassock",17-JUN-12,104,"152417337"
"Cassock",17-JUN-12,105,"2534589628"
"Cassock",17-JUN-12,106,"4316780017"
"Cassock",17-JUN-12,862,"212181873"
"Cassock",17-JUN-12,866,"689282021"
"Anorak",13-JUN-12,19307,"6890214202"
"Anorak",13-JUN-12,19407,"6890214202"
"Chador",17-JUN-12,1715,"511252923"
"Chador",17-JUN-12,1728,"155355795"
"Chador",17-JUN-12,1772,"343981646"
"Camp shirt",17-JUN-12,7,"4638166220"
"Camp shirt",17-JUN-12,9,"4981906363"
"Camp shirt",17-JUN-12,37,"484065471"
"Cardigan (sweater)",17-JUN-12,5,"5070354972"
"Cardigan (sweater)",17-JUN-12,6,"5070356404"
"Anorak",13-JUN-12,19507,"6890214202"
"Anorak",13-JUN-12,19607,"6890214202"
"Cardigan (sweater)",17-JUN-12,60,"5070357000"
"Cardigan (sweater)",17-JUN-12,101,"2919992019"
"Cardigan (sweater)",17-JUN-12,116,"5070357322"
"Cardigan (sweater)",17-JUN-12,149,"6711132377"
"Cardigan (sweater)",17-JUN-12,150,"6711132513"
"Anorak",13-JUN-12,19707,"6890214202"
"Anorak",13-JUN-12,19807,"6890214202"
"Chador",17-JUN-12,138,"3406769878"
"Chador",17-JUN-12,213,"884101376"
"Anorak",13-JUN-12,17007,"6890214202"
"Anorak",13-JUN-12,17107,"6890214202"
"Cassock",17-JUN-12,304,"6061646846"
"Cassock",17-JUN-12,949,"6597278639"
"Chador",17-JUN-12,3500,"4726713870"
"Chador",17-JUN-12,3518,"2891585011"
"Chador",17-JUN-12,3542,"3435238312"
"Chador",17-JUN-12,3566,"2489267811"
"Chador",17-JUN-12,3610,"4790903880"
"Chador",18-JUN-12,3631,"3173949093"
"Chador",18-JUN-12,3673,"2064125038"
"Chador",18-JUN-12,3679,"4844270285"
"Chador",18-JUN-12,3698,"4155727833"
"Chador",17-JUN-12,1003,"4568118722"
"Chador",17-JUN-12,1004,"4568461764"
"Chador",17-JUN-12,1005,"4568209816"
"Chador",17-JUN-12,1066,"4872155845"
"Chador",17-JUN-12,1167,"4786704010"
"Chador",17-JUN-12,1833,"509820172"
"Chador",17-JUN-12,1834,"2064929661"
"Chador",17-JUN-12,1837,"4870032962"
"Chador",17-JUN-12,1838,"1259139992"
"Chador",17-JUN-12,1845,"5113903409"
"Chador",17-JUN-12,1847,"5113902711"
"Chador",17-JUN-12,1884,"2649863747"
"Chador",17-JUN-12,1905,"2489656063"
"Chador",17-JUN-12,1914,"2795308091"
"Chador",17-JUN-12,1939,"6123387472"
"Chador",17-JUN-12,2705,"3732795824"
"Chador",17-JUN-12,2714,"5866583015"
"Chador",17-JUN-12,2716,"343985743"
"Chador",17-JUN-12,2721,"196805560"
"Chador",17-JUN-12,2724,"2482233091"
"Chador",17-JUN-12,2758,"4660838907"
"Boat neck",15-JUN-12,2092,"5743074702"
"Boat neck",15-JUN-12,2105,"7242740084"
"Boat neck",15-JUN-12,2106,"7242744452"
"Boat neck",15-JUN-12,2107,"7242743238"
"Boat neck",15-JUN-12,2108,"7242742056"
"Boat neck",15-JUN-12,2109,"7242734070"
"Boat neck",15-JUN-12,2110,"7242731456"
"Boat neck",15-JUN-12,2111,"7242738292"
"Boat neck",15-JUN-12,2112,"7242735128"
"Boat neck",15-JUN-12,2113,"7242736938"
"Boat neck",15-JUN-12,2116,"6973544684"
"Boat neck",15-JUN-12,2118,"7218654212"
"Boat neck",15-JUN-12,2119,"6909250400"
"Boat neck",15-JUN-12,2120,"7062163151"
"Boat neck",15-JUN-12,2121,"6912848606"
"Boat neck",15-JUN-12,2122,"7218656264"
"Boat neck",15-JUN-12,2123,"7218655420"
"Boat neck",15-JUN-12,2124,"7218652452"
"Boat neck",15-JUN-12,2126,"6831573022"
"Boat neck",15-JUN-12,2127,"7188381098"
"Boat neck",15-JUN-12,2128,"7188372252"
"Boat neck",15-JUN-12,2129,"7188369690"
"Boat neck",15-JUN-12,2130,"7119698065"
"Boat neck",15-JUN-12,2131,"7218651692"
"Boat neck",15-JUN-12,2132,"7188376490"
"Boat neck",15-JUN-12,2147,"7255787602"
"Boat neck",15-JUN-12,2165,"6912863874"
"Boat neck",15-JUN-12,2168,"7055341693"
"Boat neck",15-JUN-12,2169,"7218656824"
"Boat neck",15-JUN-12,2181,"7218653000"
"Boat neck",15-JUN-12,2202,"3644773492"
"Boat neck",15-JUN-12,2203,"7255301516"
"Boat neck",15-JUN-12,2204,"6967475669"
"Boat neck",15-JUN-12,2205,"6831015422"
"Boat neck",15-JUN-12,2206,"6967469227"
"Boat neck",15-JUN-12,2207,"6991588735"
"Boat neck",15-JUN-12,2208,"6839977060"
"Boat neck",15-JUN-12,2209,"6967470941"
"Boat neck",15-JUN-12,2210,"6967480589"
"Boat neck",15-JUN-12,2211,"6831057674"
"Boat neck",15-JUN-12,2212,"6821357090"
"Boat neck",15-JUN-12,2213,"6821356130"
"Boat neck",15-JUN-12,2214,"6947224221"
"Boat neck",15-JUN-12,2215,"6821357664"
"Boat neck",15-JUN-12,2216,"6821305192"
"Boat neck",15-JUN-12,2217,"6991589757"
"Boat neck",15-JUN-12,2218,"6845457878"
"Boat neck",15-JUN-12,2219,"6821354076"
"Boat neck",15-JUN-12,2220,"7030915465"
