PHOTO_ID,PictureURL,Category,T1_Q1,T2_Q1,T3_Q1,T1_Q2,T1_Q2,T1_Q2,T1_Familiarity,T2_Familiarity,T3_Familiarity
6354105533,http://farm7.static.flickr.com/6102/6354105533_6b05c5a823.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,6,6,1
6354102457,http://farm7.static.flickr.com/6104/6354102457_3ea82d1b6e.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,6,6,1
6354050259,http://farm7.static.flickr.com/6229/6354050259_bf6973e42c.jpg,Faluche,Yes,Yes,Yes,No,Yes,Yes,6,3,1
6354560613,http://farm7.static.flickr.com/6229/6354560613_36a81266a4.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,6,3,1
6354407017,http://farm7.static.flickr.com/6231/6354407017_92ea27a1c8.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,6,3,1
6354206915,http://farm7.static.flickr.com/6232/6354206915_2779f69f58.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,6,3,1
5749452294,http://farm3.static.flickr.com/2463/5749452294_8383eb1a32.jpg,Fashion accessory,No,Yes,No,No,Yes,No,7,7,7
4444576795,http://farm3.static.flickr.com/2741/4444576795_108f15ae9e.jpg,Fashion accessory,Yes,Yes,Yes,Yes,No,No,7,7,7
4416354962,http://farm3.static.flickr.com/2747/4416354962_2c1da0dbfe.jpg,Fashion accessory,Yes,Yes,Yes,,Yes,Yes,7,7,7
3239377094,http://farm4.static.flickr.com/3089/3239377094_f481e02ac7.jpg,Fashion accessory,Yes,Yes,Yes,Yes,Yes,Yes,7,7,7
379689002,http://farm1.static.flickr.com/163/379689002_eae01ceb04.jpg,Fashion week,Yes,Yes,Yes,Yes,Yes,Yes,7,7,4
379712067,http://farm1.static.flickr.com/165/379712067_d94a4f1f97.jpg,Fashion week,Yes,Yes,Yes,Yes,Yes,Yes,7,7,4
379714859,http://farm1.static.flickr.com/165/379714859_c2e41c309d.jpg,Fashion week,Yes,Yes,Yes,Yes,Yes,Yes,7,7,4
379716306,http://farm1.static.flickr.com/167/379716306_17b103dbd2.jpg,Fashion week,Yes,Yes,Yes,Yes,Yes,Yes,7,7,4
379713604,http://farm1.static.flickr.com/181/379713604_55bdd97d3d.jpg,Fashion week,Yes,Yes,Yes,Yes,Yes,Yes,4,6,7
2838036453,http://farm4.static.flickr.com/3147/2838036453_81ae207fd5.jpg,Fashion week,NotSure,NotSure,No,No,No,No,4,6,7
5030658767,http://farm5.static.flickr.com/4128/5030658767_57838f1835.jpg,Fashion week,Yes,Yes,Yes,Yes,Yes,Yes,4,6,7
5472498010,http://farm6.static.flickr.com/5015/5472498010_9f8746929b.jpg,Fashion week,Yes,Yes,Yes,NotSure,Yes,NotSure,4,6,7
5479007082,http://farm6.static.flickr.com/5057/5479007082_3dab23ea54.jpg,Fashion week,Yes,NotSure,Yes,Yes,NotSure,Yes,6,1,7
5473536526,http://farm6.static.flickr.com/5140/5473536526_f7f9e39c55.jpg,Fashion week,Yes,NotSure,Yes,Yes,NotSure,Yes,6,1,7
5478405639,http://farm6.static.flickr.com/5172/5478405639_ddd67f2e67.jpg,Fashion week,Yes,NotSure,Yes,Yes,NotSure,Yes,6,1,7
5476141572,http://farm6.static.flickr.com/5217/5476141572_a8c706e0b6.jpg,Fashion week,Yes,NotSure,Yes,Yes,NotSure,Yes,6,1,7
3571670780,http://farm3.static.flickr.com/2454/3571670780_07f88d9706.jpg,French hood,No,No,Yes,NotSure,No,No,1,1,4
4309153453,http://farm3.static.flickr.com/2702/4309153453_2f877a3811.jpg,French hood,Yes,No,Yes,NotSure,No,No,1,1,4
4307537282,http://farm3.static.flickr.com/2736/4307537282_88660d0224.jpg,French hood,Yes,Yes,Yes,NotSure,Yes,No,1,1,4
4309152981,http://farm3.static.flickr.com/2780/4309152981_4c7df51623.jpg,French hood,Yes,Yes,Yes,NotSure,No,No,1,1,4
2715924828,http://farm4.static.flickr.com/3240/2715924828_84afac9827.jpg,French hood,No,No,No,No,No,No,2,7,5
2715925552,http://farm4.static.flickr.com/3252/2715925552_0b19171e50.jpg,French hood,No,No,No,No,No,No,2,7,5
2715112375,http://farm4.static.flickr.com/3259/2715112375_ae4a477ac6.jpg,French hood,No,No,No,No,No,No,2,7,5
2715936064,http://farm4.static.flickr.com/3259/2715936064_7cccfd537f.jpg,French hood,No,No,No,No,No,No,2,7,5
2715132587,http://farm4.static.flickr.com/3270/2715132587_49d62c138a.jpg,French hood,No,No,No,No,No,No,1,6,6
2579350562,http://farm4.static.flickr.com/3271/2579350562_6c490410a4.jpg,French hood,No,No,No,No,No,No,1,6,6
3492463720,http://farm4.static.flickr.com/3318/3492463720_7a4533bbf5.jpg,French hood,NotSure,Yes,Yes,No,No,No,1,6,6
3313299074,http://farm4.static.flickr.com/3336/3313299074_0ed279e85f.jpg,French hood,Yes,Yes,Yes,Yes,Yes,Yes,1,6,6
4309152805,http://farm5.static.flickr.com/4049/4309152805_feeed90bed.jpg,French hood,Yes,Yes,No,No,No,No,5,6,1
4309154459,http://farm5.static.flickr.com/4052/4309154459_7984e2c347.jpg,French hood,Yes,Yes,No,No,No,No,5,6,1
4309154049,http://farm5.static.flickr.com/4058/4309154049_7f7f7895f3.jpg,French hood,Yes,Yes,Yes,No,No,NotSure,5,6,1
5402859129,http://farm6.static.flickr.com/5177/5402859129_1f3d4c5656.jpg,French hood,No,No,Yes,No,No,No,6,1,3
5248916424,http://farm6.static.flickr.com/5203/5248916424_95dc45d47e.jpg,French hood,No,No,No,No,No,No,6,1,3
6278037276,http://farm7.static.flickr.com/6099/6278037276_5dc0d43b99.jpg,French hood,No,No,No,No,No,No,,1,6
5955742986,http://farm7.static.flickr.com/6129/5955742986_bbf59fb552.jpg,French hood,No,No,No,No,No,No,,1,6
6277509285,http://farm7.static.flickr.com/6216/6277509285_51a0c08d6a.jpg,French hood,No,No,No,No,No,No,,1,6
7251757220,http://farm8.static.flickr.com/7094/7251757220_a8e6d61dc1.jpg,French hood,NotSure,Yes,Yes,Yes,No,Yes,2,4,7
7196897384,http://farm8.static.flickr.com/7097/7196897384_c2c42f9ba7.jpg,French hood,No,No,Yes,No,No,No,2,4,7
2739095928,http://farm4.static.flickr.com/3255/2739095928_b5a06fe884.jpg,Gather (sewing),Yes,Yes,Yes,NotSure,No,NotSure,6,7,1
4624609661,http://farm4.static.flickr.com/3348/4624609661_d8f3e0908f.jpg,Gather (sewing),Yes,Yes,Yes,No,No,NotSure,6,7,1
3218361762,http://farm4.static.flickr.com/3371/3218361762_bfe8259b4f.jpg,Gather (sewing),Yes,No,Yes,No,No,No,6,7,1
3596411892,http://farm4.static.flickr.com/3376/3596411892_6f625b18d1.jpg,Gather (sewing),Yes,Yes,Yes,NotSure,Yes,Yes,6,7,1
4888981692,http://farm5.static.flickr.com/4099/4888981692_47918ae121.jpg,Girdle,No,No,No,No,No,No,4,4,7
4888382795,http://farm5.static.flickr.com/4100/4888382795_e45c223f11.jpg,Girdle,No,No,No,No,No,No,4,4,7
4888381567,http://farm5.static.flickr.com/4101/4888381567_158656ee70.jpg,Girdle,No,No,No,No,No,No,4,4,7
4973031077,http://farm5.static.flickr.com/4144/4973031077_ed2e71eff5.jpg,Girdle,No,No,No,No,No,No,4,4,7
5339731584,http://farm6.static.flickr.com/5248/5339731584_4bde0f48af.jpg,Boater,No,No,No,No,No,No,,2,6
7053990971,http://farm6.static.flickr.com/5319/7053990971_342473a6f4.jpg,Boater,Yes,Yes,Yes,Yes,Yes,Yes,,2,6
5939902639,http://farm7.static.flickr.com/6129/5939902639_0f76bc2932.jpg,Boater,No,No,No,Yes,No,NotSure,,2,6
6191310201,http://farm7.static.flickr.com/6135/6191310201_29e537d135.jpg,Boater,Yes,No,No,No,No,No,,2,6
7188095217,http://farm8.static.flickr.com/7098/7188095217_2cbc350fa3.jpg,Handbag,Yes,Yes,Yes,Yes,Yes,Yes,6,7,7
5455760061,http://farm6.static.flickr.com/5051/5455760061_dbb7772595.jpg,Hat Act,NotSure,Yes,No,No,No,No,1,4,7
5455767075,http://farm6.static.flickr.com/5056/5455767075_5e592041be.jpg,Hat Act,NotSure,Yes,Yes,No,No,No,1,4,7
5455767711,http://farm6.static.flickr.com/5060/5455767711_036da824f0.jpg,Hat Act,Yes,Yes,Yes,No,No,No,1,4,7
5455769833,http://farm6.static.flickr.com/5094/5455769833_89fa9b50e2.jpg,Hat Act,Yes,Yes,Yes,No,No,No,1,4,7
527949800,http://farm2.static.flickr.com/1104/527949800_bd026dfbf6.jpg,Bobby pin,Yes,NotSure,Yes,Yes,NotSure,Yes,4,4,5
528040949,http://farm2.static.flickr.com/1149/528040949_293000deae.jpg,Bobby pin,Yes,NotSure,Yes,Yes,NotSure,Yes,4,4,5
3886734104,http://farm3.static.flickr.com/2475/3886734104_8c688b240f.jpg,Bobby pin,Yes,No,Yes,Yes,No,Yes,4,4,5
4192542152,http://farm3.static.flickr.com/2514/4192542152_892b5c4635.jpg,Bobby pin,Yes,Yes,Yes,Yes,NotSure,Yes,4,4,5
4192541210,http://farm5.static.flickr.com/4045/4192541210_b760bbf929.jpg,Bobby pin,Yes,No,NotSure,No,No,NotSure,7,7,5
5279428064,http://farm6.static.flickr.com/5010/5279428064_6996223b6a.jpg,Bobby pin,Yes,Yes,Yes,Yes,Yes,Yes,7,7,5
6048001994,http://farm7.static.flickr.com/6065/6048001994_7385611e11.jpg,Bobby pin,Yes,Yes,Yes,NotSure,Yes,NotSure,7,7,5
6048002148,http://farm7.static.flickr.com/6210/6048002148_c6eb89ce36.jpg,Bobby pin,Yes,Yes,Yes,NotSure,Yes,Yes,7,7,5
2035859798,http://farm3.static.flickr.com/2158/2035859798_353d9fdf84.jpg,Headband,Yes,Yes,Yes,No,Yes,Yes,7,5,7
3630472496,http://farm3.static.flickr.com/2422/3630472496_6205125419.jpg,Headband,Yes,Yes,Yes,Yes,Yes,Yes,7,5,7
3629656635,http://farm3.static.flickr.com/2425/3629656635_716de47cc4.jpg,Headband,Yes,Yes,Yes,No,Yes,Yes,7,5,7
3590971077,http://farm3.static.flickr.com/2431/3590971077_be7960152e.jpg,Headband,Yes,No,Yes,No,No,NotSure,7,5,7
3048463345,http://farm4.static.flickr.com/3254/3048463345_c0c944b874.jpg,Headband,Yes,Yes,Yes,Yes,No,No,5,6,5
3626456803,http://farm4.static.flickr.com/3358/3626456803_eebea7d7ab.jpg,Headband,Yes,Yes,Yes,Yes,Yes,Yes,5,6,5
3591779904,http://farm4.static.flickr.com/3366/3591779904_458ff8a21a.jpg,Headband,No,No,No,No,No,No,5,6,5
3624522808,http://farm4.static.flickr.com/3602/3624522808_e0c9cbb491.jpg,Headband,Yes,Yes,Yes,Yes,Yes,No,5,6,5
5705179109,http://farm3.static.flickr.com/2167/5705179109_b9f574367d.jpg,Headscarf,Yes,Yes,NotSure,Yes,Yes,Yes,6,6,6
2521470795,http://farm3.static.flickr.com/2313/2521470795_173dd39df2.jpg,Headscarf,NotSure,Yes,Yes,NotSure,Yes,Yes,6,6,6
2563365458,http://farm4.static.flickr.com/3018/2563365458_c2fbab30a3.jpg,Headscarf,Yes,,Yes,Yes,Yes,Yes,6,6,6
2511859142,http://farm4.static.flickr.com/3169/2511859142_78618928dd.jpg,Headscarf,Yes,Yes,Yes,Yes,Yes,Yes,6,6,6
6124193493,http://farm7.static.flickr.com/6189/6124193493_b0f47403fb.jpg,Headscarf,Yes,No,Yes,No,No,NotSure,7,6,7
7236580042,http://farm9.static.flickr.com/8168/7236580042_5bd1daa948.jpg,Headscarf,Yes,Yes,Yes,Yes,Yes,Yes,7,6,7
7198427240,http://farm9.static.flickr.com/8019/7198427240_e973037424.jpg,Borsalino,Yes,NotSure,Yes,NotSure,No,Yes,6,1,6
7185083986,http://farm9.static.flickr.com/8142/7185083986_ea6142def3.jpg,Borsalino,Yes,Yes,Yes,NotSure,Yes,Yes,6,1,6
7198425268,http://farm9.static.flickr.com/8144/7198425268_6af7096b80.jpg,Borsalino,Yes,NotSure,Yes,Yes,Yes,Yes,6,1,6
7198426016,http://farm9.static.flickr.com/8157/7198426016_3720932e51.jpg,Borsalino,Yes,NotSure,Yes,Yes,Yes,Yes,6,1,6
3471615294,http://farm4.static.flickr.com/3577/3471615294_5e7f0ae9e9.jpg,Himation,Yes,Yes,No,Yes,Yes,NotSure,1,6,2
3470818499,http://farm4.static.flickr.com/3652/3470818499_92d5721de3.jpg,Himation,Yes,Yes,No,Yes,,NotSure,1,6,2
6896777466,http://farm6.static.flickr.com/5116/6896777466_c947aaa86f.jpg,Himation,No,Yes,No,No,Yes,NotSure,1,6,2
5937029824,http://farm7.static.flickr.com/6007/5937029824_fb8cc86229.jpg,Himation,Yes,Yes,No,NotSure,Yes,NotSure,1,6,2
3512738848,http://farm4.static.flickr.com/3382/3512738848_90c592ec43.jpg,Buckskins,No,No,No,No,No,No,6,1,6
3508792729,http://farm4.static.flickr.com/3654/3508792729_75b9027c28.jpg,Buckskins,No,No,No,No,No,No,6,1,6
7314422050,http://farm8.static.flickr.com/7219/7314422050_57567e8dbf.jpg,Buckskins,Yes,NotSure,Yes,No,No,No,6,1,6
7329637046,http://farm9.static.flickr.com/8163/7329637046_31633fc828.jpg,Buckskins,No,No,No,No,No,No,6,1,6
3901163043,http://farm3.static.flickr.com/2431/3901163043_c2de6d831b.jpg,Homburg (hat),Yes,Yes,Yes,Yes,Yes,Yes,1,3,2
3901940684,http://farm3.static.flickr.com/2432/3901940684_9b55afdc76.jpg,Homburg (hat),Yes,Yes,Yes,Yes,,Yes,1,3,2
3901934546,http://farm3.static.flickr.com/2462/3901934546_fb3736cc3f.jpg,Homburg (hat),Yes,Yes,Yes,Yes,Yes,Yes,1,3,2
3901953112,http://farm3.static.flickr.com/2474/3901953112_c9d613d554.jpg,Homburg (hat),Yes,Yes,Yes,Yes,Yes,Yes,1,3,2
3901154545,http://farm3.static.flickr.com/2495/3901154545_b31d749a40.jpg,Homburg (hat),Yes,Yes,Yes,Yes,Yes,Yes,6,2,1
3901162289,http://farm3.static.flickr.com/2559/3901162289_2d42898ba4.jpg,Homburg (hat),Yes,Yes,Yes,Yes,Yes,Yes,6,2,1
3901940274,http://farm3.static.flickr.com/2608/3901940274_f1ba6fd465.jpg,Homburg (hat),Yes,Yes,Yes,Yes,Yes,Yes,6,2,1
3901941292,http://farm3.static.flickr.com/2652/3901941292_6fc4879637.jpg,Homburg (hat),Yes,Yes,Yes,Yes,Yes,Yes,6,2,1
75860910,http://farm1.static.flickr.com/41/75860910_f35cfe5769.jpg,Jacket,Yes,Yes,Yes,Yes,Yes,Yes,6,7,7
111591174,http://farm1.static.flickr.com/45/111591174_8b4ec3c6a0.jpg,Jacket,Yes,No,Yes,NotSure,No,Yes,6,7,7
136530937,http://farm1.static.flickr.com/54/136530937_c7f9e6925b.jpg,Jacket,NotSure,No,Yes,NotSure,No,NotSure,6,7,7
4938565987,http://farm5.static.flickr.com/4075/4938565987_876dc2a8c7.jpg,Busby,No,No,No,No,No,No,1,6,1
4938555889,http://farm5.static.flickr.com/4140/4938555889_656a8f7d9e.jpg,Busby,No,No,No,No,No,No,1,6,1
5293810891,http://farm6.static.flickr.com/5209/5293810891_5b8143594e.jpg,Busby,No,No,No,No,No,No,1,6,1
5231997835,http://farm6.static.flickr.com/5286/5231997835_5ac85ebb6d.jpg,Busby,No,No,No,No,No,No,1,6,1
6321593937,http://farm7.static.flickr.com/6060/6321593937_0c095a2c08.jpg,Busby,Yes,No,Yes,No,No,No,5,2,1
6322116984,http://farm7.static.flickr.com/6119/6322116984_a129c67999.jpg,Busby,Yes,No,Yes,No,No,No,5,2,1
6160483368,http://farm7.static.flickr.com/6202/6160483368_a1cb0733f9.jpg,Busby,No,No,,No,No,No,5,2,1
6322116582,http://farm7.static.flickr.com/6219/6322116582_25a7103361.jpg,Busby,Yes,No,Yes,No,No,No,5,2,1
455572466,http://farm1.static.flickr.com/241/455572466_32df37715d.jpg,Button,No,No,No,No,No,No,7,7,7
66938001,http://farm1.static.flickr.com/28/66938001_b44ead143f.jpg,Button,Yes,No,No,Yes,NotSure,No,7,7,7
4497496,http://farm1.static.flickr.com/3/4497496_72afd23766.jpg,Button,Yes,No,No,Yes,NotSure,No,7,7,7
6063842,http://farm1.static.flickr.com/3/6063842_ea05f67dd0.jpg,Button,No,No,No,No,No,No,7,7,7
4502737,http://farm1.static.flickr.com/4/4502737_1f2bad7fbc.jpg,Button,NotSure,Yes,Yes,No,NotSure,Yes,6,7,7
4502790,http://farm1.static.flickr.com/4/4502790_c1c3e7e427.jpg,Button,NotSure,Yes,,No,NotSure,Yes,6,7,7
184618898,http://farm1.static.flickr.com/45/184618898_d4798e0d0a.jpg,Button,Yes,Yes,Yes,Yes,Yes,Yes,6,7,7
5627258,http://farm1.static.flickr.com/6/5627258_e613eb02da.jpg,Button,NotSure,Yes,Yes,No,Yes,Yes,6,7,7
4942337889,http://farm5.static.flickr.com/4081/4942337889_71b3c09c67.jpg,Button,No,No,No,No,No,No,7,6,7
4738704998,http://farm5.static.flickr.com/4099/4738704998_0581670b1c.jpg,Button,No,Yes,Yes,NotSure,No,No,7,6,7
4738706264,http://farm5.static.flickr.com/4102/4738706264_12312a5231.jpg,Button,No,Yes,Yes,NotSure,No,No,7,6,7
4738074601,http://farm5.static.flickr.com/4118/4738074601_3f010c3e48.jpg,Button,No,Yes,Yes,NotSure,No,No,7,6,7
5600215736,http://farm6.static.flickr.com/5066/5600215736_b6d0ac73a9.jpg,Button,No,No,No,No,No,No,5,7,7
5697652862,http://farm6.static.flickr.com/5104/5697652862_7d4dcfca3e.jpg,Button,No,No,No,No,No,No,5,7,7
6596976717,http://farm8.static.flickr.com/7160/6596976717_508d4a7dfa.jpg,Button,Yes,Yes,Yes,Yes,Yes,Yes,5,7,7
6593094229,http://farm8.static.flickr.com/7174/6593094229_fc3cdb4a6f.jpg,Button,Yes,Yes,Yes,Yes,Yes,Yes,5,7,7
2050147473,http://farm3.static.flickr.com/2148/2050147473_7d7a9a18e4.jpg,Camp shirt,Yes,Yes,Yes,Yes,Yes,No,6,7,6
1794745094,http://farm3.static.flickr.com/2206/1794745094_66c935affa.jpg,Camp shirt,Yes,Yes,Yes,No,No,No,6,7,6
4638109230,http://farm5.static.flickr.com/4033/4638109230_8f804510f0.jpg,Camp shirt,No,No,Yes,No,No,No,6,7,6
4578419090,http://farm5.static.flickr.com/4052/4578419090_f8d8a9a566.jpg,Camp shirt,Yes,Yes,Yes,No,No,Yes,6,7,6
2160153132,http://farm3.static.flickr.com/2406/2160153132_daf72814f4.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,6,7,4
3931336269,http://farm3.static.flickr.com/2562/3931336269_5764a1963d.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,6,7,4
4100523267,http://farm3.static.flickr.com/2570/4100523267_e065d51fac.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,6,7,4
4499351242,http://farm3.static.flickr.com/2702/4499351242_3b5eb8bae2.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,6,7,4
4100528633,http://farm3.static.flickr.com/2714/4100528633_a506bdc9e8.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,4,7,7
2745259366,http://farm4.static.flickr.com/3038/2745259366_309d32f6c1.jpg,Cardigan (sweater),Yes,Yes,Yes,NotSure,Yes,Yes,4,7,7
2779198240,http://farm4.static.flickr.com/3055/2779198240_a69452f112.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,4,7,7
3096983728,http://farm4.static.flickr.com/3061/3096983728_c3dd5633b2.jpg,Cardigan (sweater),Yes,Yes,Yes,NotSure,Yes,NotSure,4,7,7
2919992019,http://farm4.static.flickr.com/3190/2919992019_4ef5ea6074.jpg,Cardigan (sweater),Yes,Yes,No,Yes,NotSure,No,7,7,7
3932118888,http://farm4.static.flickr.com/3435/3932118888_8d57425b2d.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,7,7,7
3931336027,http://farm4.static.flickr.com/3446/3931336027_13913eafc0.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,7,7,7
3931335699,http://farm4.static.flickr.com/3500/3931335699_197f10e8e3.jpg,Cardigan (sweater),Yes,Yes,Yes,Yes,Yes,Yes,7,7,7
152417337,http://farm1.static.flickr.com/44/152417337_971f19ae63.jpg,Cassock,Yes,No,Yes,No,No,No,6,5,6
212181873,http://farm1.static.flickr.com/64/212181873_243799bf34.jpg,Cassock,Yes,No,Yes,No,No,No,6,5,6
689282021,http://farm2.static.flickr.com/1018/689282021_f209b0d321.jpg,Cassock,No,No,No,No,No,No,6,5,6
2533775597,http://farm3.static.flickr.com/2006/2533775597_bb0ebc13a3.jpg,Cassock,Yes,No,Yes,No,No,Yes,6,5,6
4138269630,http://farm3.static.flickr.com/2584/4138269630_cb1e6cec36.jpg,Cassock,No,Yes,Yes,Yes,Yes,Yes,6,7,7
4138269970,http://farm3.static.flickr.com/2595/4138269970_b164a019aa.jpg,Cassock,No,Yes,Yes,Yes,No,Yes,6,7,7
4137506773,http://farm3.static.flickr.com/2631/4137506773_c9d573d343.jpg,Cassock,No,Yes,Yes,Yes,Yes,Yes,6,7,7
4138270390,http://farm3.static.flickr.com/2678/4138270390_2c6f48a14f.jpg,Cassock,No,Yes,Yes,Yes,Yes,Yes,6,7,7
4138270810,http://farm3.static.flickr.com/2686/4138270810_bf9eee13f4.jpg,Cassock,Yes,Yes,Yes,Yes,Yes,Yes,6,7,7
